node,cluster,cluster_centroid_distance,cluster_distance_score,isolation_forest_raw_score,isolation_forest_score,isolation_forest_outlier,degree,weighted_degree,low_degree_score,low_weighted_degree_score,combined_anomaly_score,anomaly_rank,is_top_5pct_anomaly,Hectares,Agriblock,Variety,Soil Types,Seedrate(in Kg),Nursery,DAP_20days,Urea_40Days,Potassh_50Days,Pest_60Day(in ml),Trash(in bundles),Paddy yield(in Kg)
2786,8,4.96980958332972,1.0,0.6181448055780039,0.9596748540776671,1,400,88.0357105857508,1.0,0.9998705805051028,0.9818407423854605,1,1,1,Chinnasalem,delux ponni,clay,25,wet,40,27.13,10.38,600,80,5723
2560,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,2,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5873
2578,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,3,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5836
2602,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,4,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5873
2620,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,5,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5723
2768,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,6,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5908
2774,8,4.965994565746604,0.9984893785961686,0.6147865123687435,0.9387251408138225,1,400,88.00322826254911,1.0,1.0,0.971746533734496,7,1,1,Chinnasalem,delux ponni,clay,25,dry,40,27.13,10.38,600,80,5463
2554,8,4.963063010339002,0.9973285791375136,0.6110452178107819,0.9153861875596074,1,400,88.00836808071755,1.0,0.9999795213948494,0.9607195971531894,8,1,1,Chinnasalem,delux ponni,alluvial,25,dry,40,27.13,10.38,600,80,5836
2596,8,4.963063010339002,0.9973285791375136,0.6110452178107819,0.9153861875596074,1,400,88.00836808071755,1.0,0.9999795213948494,0.9607195971531894,9,1,1,Chinnasalem,delux ponni,alluvial,25,dry,40,27.13,10.38,600,80,5463
2769,3,2.88162398875543,0.9903795354348812,0.6113459044131331,0.9172619314893412,1,432,96.682087981189,0.873015873015873,0.9654207725815752,0.9549807373740576,10,1,1,Cuddalore,CO_43,clay,25,dry,40,27.13,10.38,600,90,5863
2545,5,6.474897539953726,0.9996901924556344,0.6087777442432003,0.9012412281667845,1,400,93.34050271751876,1.0,0.9787346687057793,0.9532926061506665,11,1,1,Panruti,delux ponni,clay,25,wet,40,27.13,10.38,600,80,5453
2611,5,6.474897539953726,0.9996901924556344,0.6087777442432003,0.9012412281667845,1,400,93.34050271751876,1.0,0.9787346687057793,0.9532926061506665,12,1,1,Panruti,delux ponni,clay,25,wet,40,27.13,10.38,600,80,5916
2724,5,6.474897539953726,0.9996901924556344,0.6087777442432003,0.9012412281667845,1,400,93.34050271751872,1.0,0.9787346687057794,0.9532926061506665,13,1,1,Panruti,delux ponni,clay,25,wet,40,27.13,10.38,600,80,5463
2783,5,6.474897539953726,0.9996901924556344,0.6087777442432003,0.9012412281667845,1,400,93.34050271751876,1.0,0.9787346687057793,0.9532926061506665,14,1,1,Panruti,delux ponni,clay,25,wet,40,27.13,10.38,600,80,5492
33,2,3.1026645651384115,0.9994995661980134,0.6119668782282589,0.921135691926747,1,400,115.97303316012788,1.0,0.8885597560327982,0.9531418417594221,15,1,6,Kallakurichi,ponmani,alluvial,150,dry,240,162.78,62.28,3600,600,33762
